window_end_row,window_start_row,window_size,negative_count,negative_ratio
349,250,100,30,0.3
360,261,100,30,0.3
361,262,100,30,0.3
362,263,100,30,0.3
363,264,100,30,0.3
364,265,100,30,0.3
365,266,100,30,0.3
377,278,100,30,0.3
378,279,100,30,0.3
379,280,100,30,0.3
380,281,100,30,0.3
384,285,100,30,0.3
385,286,100,30,0.3
396,297,100,30,0.3
397,298,100,31,0.31
398,299,100,31,0.31
399,300,100,31,0.31
400,301,100,31,0.31
401,302,100,31,0.31
402,303,100,31,0.31
403,304,100,32,0.32
404,305,100,31,0.31
405,306,100,31,0.31
406,307,100,32,0.32
407,308,100,31,0.31
408,309,100,32,0.32
409,310,100,32,0.32
410,311,100,31,0.31
411,312,100,31,0.31
412,313,100,30,0.3
413,314,100,31,0.31
414,315,100,30,0.3
415,316,100,30,0.3
416,317,100,30,0.3
417,318,100,30,0.3
418,319,100,30,0.3
443,344,100,30,0.3
444,345,100,30,0.3
445,346,100,30,0.3
459,360,100,30,0.3
460,361,100,30,0.3
461,362,100,30,0.3
462,363,100,30,0.3
466,367,100,30,0.3
467,368,100,30,0.3
469,370,100,30,0.3
470,371,100,30,0.3
471,372,100,30,0.3
472,373,100,30,0.3
473,374,100,31,0.31
474,375,100,31,0.31
475,376,100,31,0.31
476,377,100,31,0.31
477,378,100,31,0.31
478,379,100,31,0.31
479,380,100,32,0.32
480,381,100,32,0.32
481,382,100,32,0.32
482,383,100,32,0.32
483,384,100,32,0.32
484,385,100,31,0.31
485,386,100,31,0.31
486,387,100,31,0.31
487,388,100,31,0.31
488,389,100,31,0.31
489,390,100,32,0.32
490,391,100,31,0.31
491,392,100,31,0.31
492,393,100,31,0.31
493,394,100,31,0.31
494,395,100,31,0.31
495,396,100,31,0.31
496,397,100,30,0.3
795,696,100,30,0.3
796,697,100,30,0.3
797,698,100,30,0.3
798,699,100,30,0.3
799,700,100,30,0.3
800,701,100,31,0.31
801,702,100,31,0.31
802,703,100,31,0.31
803,704,100,31,0.31
804,705,100,31,0.31
805,706,100,31,0.31
806,707,100,31,0.31
807,708,100,31,0.31
808,709,100,31,0.31
809,710,100,31,0.31
810,711,100,31,0.31
811,712,100,31,0.31
812,713,100,32,0.32
813,714,100,31,0.31
814,715,100,31,0.31
815,716,100,30,0.3
816,717,100,30,0.3
817,718,100,30,0.3
818,719,100,30,0.3
829,730,100,30,0.3
830,731,100,31,0.31
831,732,100,31,0.31
832,733,100,31,0.31
833,734,100,31,0.31
834,735,100,30,0.3
835,736,100,30,0.3
836,737,100,30,0.3
837,738,100,30,0.3
842,743,100,30,0.3
843,744,100,31,0.31
844,745,100,31,0.31
845,746,100,31,0.31
846,747,100,31,0.31
847,748,100,31,0.31
848,749,100,31,0.31
849,750,100,30,0.3
850,751,100,30,0.3
